timestamp,day,robot_id,x,y,speed,battery,event,health_score,degradation_factor,shift
2025-01-31 06:00:00,30,R1,20.08,15.01,1.24,99.3,robot_started_task,100.0,1.0,day
2025-01-31 06:02:00,30,R1,29.83,15.26,1.46,98.6,intersection_wait,100.0,1.0,day
2025-01-31 06:04:00,30,R1,20.75,5.02,1.18,98.1,low_battery_warning,100.0,1.0,day
2025-01-31 06:06:00,30,R1,19.13,4.77,1.26,97.2,charging_completed,100.0,1.0,day
2025-01-31 06:08:00,30,R1,19.65,3.79,1.32,96.4,path_blocked,100.0,1.0,day
2025-01-31 06:10:00,30,R1,9.98,14.68,1.29,95.5,deadlock_detected,100.0,1.0,day
2025-01-31 06:12:00,30,R1,39.08,5.24,1.25,94.4,intersection_wait,100.0,1.0,day
2025-01-31 06:14:00,30,R1,29.85,5.09,1.29,93.9,robot_started_task,100.0,1.0,day
2025-01-31 06:16:00,30,R1,24.56,9.98,1.19,93.0,low_battery_warning,100.0,1.0,day
2025-01-31 06:18:00,30,R1,9.96,15.22,1.29,92.2,task_completed,100.0,1.0,day
2025-01-31 06:20:00,30,R1,29.88,14.51,1.34,91.3,deadlock_detected,100.0,1.0,day
2025-01-31 06:22:00,30,R1,9.6,5.02,1.32,90.6,intersection_wait,100.0,1.0,day
2025-01-31 06:24:00,30,R1,39.72,5.92,1.25,89.8,task_completed,100.0,1.0,day
2025-01-31 06:26:00,30,R1,34.23,9.61,1.23,88.8,path_blocked,100.0,1.0,day
2025-01-31 06:28:00,30,R1,9.85,14.43,1.53,87.8,intersection_wait,100.0,1.0,day
2025-01-31 06:30:00,30,R1,20.13,4.19,1.32,87.0,task_completed,100.0,1.0,day
2025-01-31 06:32:00,30,R1,10.04,4.16,1.28,86.1,task_completed,100.0,1.0,day
2025-01-31 06:34:00,30,R1,10.07,16.03,1.24,85.2,task_completed,100.0,1.0,day
2025-01-31 06:36:00,30,R1,30.8,14.46,1.37,84.3,task_completed,100.0,1.0,day
2025-01-31 06:38:00,30,R1,31.06,16.12,1.26,83.2,charging_started,100.0,1.0,day
2025-01-31 06:40:00,30,R1,30.56,4.39,1.45,82.4,robot_started_task,100.0,1.0,day
2025-01-31 06:42:00,30,R1,39.79,13.98,1.37,81.9,charging_completed,100.0,1.0,day
2025-01-31 06:44:00,30,R1,34.97,9.39,1.42,80.9,low_battery_warning,100.0,1.0,day
2025-01-31 06:46:00,30,R1,10.86,5.57,1.26,80.2,path_blocked,100.0,1.0,day
2025-01-31 06:48:00,30,R1,10.22,15.55,1.25,79.4,task_completed,100.0,1.0,day
2025-01-31 06:50:00,30,R1,9.96,14.98,1.37,78.7,charging_started,100.0,1.0,day
2025-01-31 06:52:00,30,R1,25.1,10.4,1.37,77.9,intersection_wait,100.0,1.0,day
2025-01-31 06:54:00,30,R1,35.7,10.36,1.08,76.8,intersection_wait,100.0,1.0,day
2025-01-31 06:56:00,30,R1,39.86,5.15,1.24,75.8,charging_started,100.0,1.0,day
2025-01-31 06:58:00,30,R1,40.68,14.41,1.19,75.1,task_completed,100.0,1.0,day
2025-01-31 07:00:00,30,R1,35.02,10.28,1.27,74.4,charging_completed,100.0,1.0,day
2025-01-31 07:02:00,30,R1,9.84,14.83,1.27,73.9,intersection_wait,100.0,1.0,day
2025-01-31 07:04:00,30,R1,20.1,5.0,1.15,72.9,charging_started,100.0,1.0,day
2025-01-31 07:06:00,30,R1,40.56,15.17,1.42,72.0,low_battery_warning,100.0,1.0,day
2025-01-31 07:08:00,30,R1,20.72,14.92,1.34,71.0,charging_completed,100.0,1.0,day
2025-01-31 07:10:00,30,R1,20.0,4.93,1.23,70.4,deadlock_detected,100.0,1.0,day
2025-01-31 07:12:00,30,R1,30.41,5.12,1.33,69.6,robot_started_task,100.0,1.0,day
2025-01-31 07:14:00,30,R1,25.14,10.23,1.16,69.0,robot_started_task,100.0,1.0,day
2025-01-31 07:16:00,30,R1,10.04,14.63,1.25,68.4,task_completed,100.0,1.0,day
2025-01-31 07:18:00,30,R1,14.99,9.9,1.29,67.8,task_completed,100.0,1.0,day
2025-01-31 07:20:00,30,R1,35.06,9.52,1.56,67.0,robot_started_task,100.0,1.0,day
2025-01-31 07:22:00,30,R1,40.23,6.44,1.38,65.8,low_battery_warning,100.0,1.0,day
2025-01-31 07:24:00,30,R1,40.46,14.64,1.41,65.0,task_completed,100.0,1.0,day
2025-01-31 07:26:00,30,R1,20.16,14.43,1.42,64.3,charging_started,100.0,1.0,day
2025-01-31 07:28:00,30,R1,39.85,4.54,1.22,63.3,robot_started_task,100.0,1.0,day
2025-01-31 07:30:00,30,R1,14.28,10.23,1.38,62.4,charging_started,100.0,1.0,day
2025-01-31 07:32:00,30,R1,30.9,15.95,1.19,61.6,charging_started,100.0,1.0,day
2025-01-31 07:34:00,30,R1,20.07,4.86,1.32,61.0,low_battery_warning,100.0,1.0,day
2025-01-31 07:36:00,30,R1,10.27,15.17,1.3,60.4,charging_started,100.0,1.0,day
2025-01-31 07:38:00,30,R1,14.69,10.16,1.27,59.9,intersection_wait,100.0,1.0,day
2025-01-31 07:40:00,30,R1,19.94,14.93,1.26,59.2,low_battery_warning,100.0,1.0,day
2025-01-31 07:42:00,30,R1,15.63,9.5,1.29,58.4,charging_started,100.0,1.0,day
2025-01-31 07:44:00,30,R1,35.41,10.05,1.31,57.8,task_completed,100.0,1.0,day
2025-01-31 07:46:00,30,R1,33.64,9.03,1.5,57.3,task_completed,100.0,1.0,day
2025-01-31 07:48:00,30,R1,19.34,14.18,1.28,56.6,task_completed,100.0,1.0,day
2025-01-31 07:50:00,30,R1,19.5,15.32,1.21,55.7,intersection_wait,100.0,1.0,day
2025-01-31 07:52:00,30,R1,39.58,15.05,1.28,54.6,task_completed,100.0,1.0,day
2025-01-31 07:54:00,30,R1,29.71,14.67,1.24,53.9,path_blocked,100.0,1.0,day
2025-01-31 07:56:00,30,R1,10.5,4.27,1.26,52.9,charging_started,100.0,1.0,day
2025-01-31 07:58:00,30,R1,29.51,5.01,1.28,52.0,charging_started,100.0,1.0,day
2025-01-31 08:00:00,30,R1,9.87,15.08,1.2,50.8,charging_completed,100.0,1.0,day
2025-01-31 08:02:00,30,R1,19.58,5.25,1.17,49.8,intersection_wait,100.0,1.0,day
2025-01-31 08:04:00,30,R1,14.48,10.69,1.21,49.3,intersection_wait,100.0,1.0,day
2025-01-31 08:06:00,30,R1,10.11,4.71,1.25,48.7,task_completed,100.0,1.0,day
2025-01-31 08:08:00,30,R1,40.81,4.91,1.37,48.1,charging_completed,100.0,1.0,day
2025-01-31 08:10:00,30,R1,19.91,4.14,1.18,47.5,task_completed,100.0,1.0,day
2025-01-31 08:12:00,30,R1,29.47,4.93,1.25,46.5,intersection_wait,100.0,1.0,day
2025-01-31 08:14:00,30,R1,19.37,14.25,1.32,46.2,task_completed,100.0,1.0,day
2025-01-31 08:16:00,30,R1,30.41,5.06,1.08,45.2,charging_started,100.0,1.0,day
2025-01-31 08:18:00,30,R1,30.25,14.91,1.25,44.1,task_completed,100.0,1.0,day
2025-01-31 08:20:00,30,R1,19.71,14.22,1.36,43.6,path_blocked,100.0,1.0,day
2025-01-31 08:22:00,30,R1,30.69,4.54,1.28,42.9,intersection_wait,100.0,1.0,day
2025-01-31 08:24:00,30,R1,31.04,14.77,1.36,41.9,robot_started_task,100.0,1.0,day
2025-01-31 08:26:00,30,R1,39.81,14.99,1.32,40.9,intersection_wait,100.0,1.0,day
2025-01-31 08:28:00,30,R1,40.67,4.38,1.33,40.2,charging_completed,100.0,1.0,day
2025-01-31 08:30:00,30,R1,14.42,10.61,1.2,39.3,robot_started_task,100.0,1.0,day
2025-01-31 08:32:00,30,R1,10.23,4.74,1.38,38.5,robot_started_task,100.0,1.0,day
2025-01-31 08:34:00,30,R1,29.82,15.67,1.27,37.9,low_battery_warning,100.0,1.0,day
2025-01-31 08:36:00,30,R1,35.45,10.43,1.32,37.2,deadlock_detected,100.0,1.0,day
2025-01-31 08:38:00,30,R1,28.95,15.34,1.34,36.3,deadlock_detected,100.0,1.0,day
